593;4696
567;4697
587;4699
575;4698
585;4700
578;4701
582;4702
589;4704
584;4706
576;4705
588;4709
586;4708
590;4711
563;4712
573;4713
564;4715
574;4714
598;4718
572;4720
581;4717
577;4725
599;4726
604;4722
594;4728
601;4729
600;4727
566;4731
602;4732
611;4734
612;4738
616;4740
641;4744
624;4745
638;4753
643;4755
617;4751
619;4758
625;4761
646;4763
639;4760
620;4767
650;4768
652;4770
651;4774
637;4773
684;4776
642;4775
636;4780
633;4784
671;4785
629;4783
644;4786
687;4791
686;4795
699;4800
700;4799
698;4806
685;4813
695;4817
697;4816
702;4815
695;4817
872;4849
916;4882
943;4889
923;4897
951;4900
931;4905
936;4922
965;4926
963;4932
922;4935
1006;4948
1011;4957
999;4962
1014;4971
977;4976
975;783
966;4986
1012;4987
971;587
1025;4991
1018;4998
1030;5005
1016;5009
1021;5011
1042;5020
1064;5027
1029;5024
1060;5031
1016;5009
1042;5020
1053;3556
1091;5041
1072;5049
1074;5055
1102;5054
1086;5058
1100;5063
1076;5064
1104;5071
1088;5069
1079;5075
1081;5072
1109;5077
1149;5090
1157;5098
1134;5107
1159;5112
1150;5125
1161;5120
1160;5130
1212;5172
1221;5189
1220;5190
1219;5203
1231;5210
1247;5217
1256;5223
1248;5222
1239;3241
1288;5241
1285;5245
1303;5246
1275;5249
1299;5273
1302;5283
1324;5294
1323;5298
1395;5343
1392;5348
1393;5352
1381;5353
1409;5365
1386;5363
1397;5370
1398;5372
1378;5366
1379;5373
1406;5376
1394;5380
1405;5377
1399;5382
1410;5385
1407;1070
1393;5352
1432;5404
1431;5407
1420;5413
1417;5422
1429;5424
1421;5423
1466;5441
1456;1933
1474;5445
1488;5450
1487;5451
1475;5457
1481;5464
1478;5465
1471;5462
1484;5479
1476;5484
1510;5493
1513;1669
1520;5497
1558;5507
1524;5509
1525;5521
1544;5526
1532;5541
1589;5549
1601;5560
1571;5573
1602;5587
1609;5580
1576;1768
1642;5608
1632;5624
1631;5627
1651;3930
1695;5663
1691;5662
1696;5671
1686;5674
1700;5680
1699;5691
1710;5688
1709;5696
1713;5703
1727;5709
1720;5711
1739;5712
1721;5715
1729;5720
1750;5724
1754;5732
1726;5744
1745;5747
1755;5741
1782;5758
1788;5757
1785;5759
1779;5760
1786;5770
1772;5771
1791;5774
1775;5778
1778;5785
1784;5790
1801;5786
1856;5809
1852;5810
1837;5816
1820;5818
1857;5821
1833;5831
1825;5832
1824;5838
1855;5835
1854;5836
1818;5843
1830;5842
1853;5837
1824;5838
1854;5836
1863;1854
1889;5866
1892;5868
